Date : 2025-06-21 22:31:52
Directory : c:\Users\Jervi\Desktop\payment-with-laravel
Total : 140 files,  23239 codes, 932 comments, 1093 blanks, all 25264 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\navigation-menu.tsx                        | TypeScript JSX     |        157 |          0 |         12 |        169 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\placeholder-pattern.tsx                    | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\select.tsx                                 | TypeScript JSX     |        167 |          0 |         13 |        180 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\separator.tsx                              | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\sheet.tsx                                  | TypeScript JSX     |        125 |          0 |         13 |        138 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\sidebar.tsx                                | TypeScript JSX     |        656 |         12 |         54 |        722 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\skeleton.tsx                               | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\toggle-group.tsx                           | TypeScript JSX     |         65 |          0 |          7 |         72 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\toggle.tsx                                 | TypeScript JSX     |         41 |          0 |          5 |         46 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\tooltip.tsx                                | TypeScript JSX     |         53 |          0 |          7 |         60 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\user-info.tsx                                 | TypeScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\user-menu-content.tsx                         | TypeScript JSX     |         41 |          0 |          5 |         46 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\hooks\use-appearance.tsx                                 | TypeScript JSX     |         49 |          3 |         22 |         74 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\hooks\use-initials.tsx                                   | TypeScript JSX     |         11 |          0 |          5 |         16 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\hooks\use-mobile-navigation.ts                           | TypeScript         |          6 |          1 |          2 |          9 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\hooks\use-mobile.tsx                                     | TypeScript JSX     |         15 |          0 |          8 |         23 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\app-layout.tsx                                   | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\app\app-header-layout.tsx                        | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\app\app-sidebar-layout.tsx                       | TypeScript JSX     |         17 |          0 |          2 |         19 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\auth-layout.tsx                                  | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\auth\auth-card-layout.tsx                        | TypeScript JSX     |         34 |          0 |          3 |         37 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\auth\auth-simple-layout.tsx                      | TypeScript JSX     |         31 |          0 |          4 |         35 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\auth\auth-split-layout.tsx                       | TypeScript JSX     |         42 |          0 |          4 |         46 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\settings\layout.tsx                              | TypeScript JSX     |         60 |          1 |          8 |         69 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\lib\utils.ts                                             | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\confirm-password.tsx                          | TypeScript JSX     |         51 |          1 |          9 |         61 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\forgot-password.tsx                           | TypeScript JSX     |         52 |          1 |         11 |         64 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\login.tsx                                     | TypeScript JSX     |         98 |          0 |         13 |        111 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\register.tsx                                  | TypeScript JSX     |        109 |          0 |         11 |        120 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\reset-password.tsx                            | TypeScript JSX     |         88 |          0 |         11 |         99 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\verify-email.tsx                              | TypeScript JSX     |         32 |          1 |          9 |         42 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\dashboard.tsx                                      | TypeScript JSX     |         33 |          0 |          3 |         36 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\settings\appearance.tsx                            | TypeScript JSX     |         25 |          0 |          6 |         31 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\settings\password.tsx                              | TypeScript JSX     |        108 |          0 |         21 |        129 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\settings\profile.tsx                               | TypeScript JSX     |        107 |          0 |         21 |        128 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\welcome.tsx                                        | TypeScript JSX     |        788 |          1 |          3 |        792 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\ssr.tsx                                                  | TypeScript JSX     |         22 |          5 |          4 |         31 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\types\global.d.ts                                        | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\types\index.d.ts                                         | TypeScript         |         37 |          0 |          7 |         44 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\types\vite-env.d.ts                                      | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\views\app.blade.php                                         | PHP                |         41 |          0 |         10 |         51 |
| c:\Users\Jervi\Desktop\payment-with-laravel\routes\auth.php                                                       | PHP                |         41 |          0 |         16 |         57 |
| c:\Users\Jervi\Desktop\payment-with-laravel\routes\console.php                                                    | PHP                |          6 |          0 |          3 |          9 |
| c:\Users\Jervi\Desktop\payment-with-laravel\routes\settings.php                                                   | PHP                |         16 |          0 |          6 |         22 |
| c:\Users\Jervi\Desktop\payment-with-laravel\routes\web.php                                                        | PHP                |         13 |          0 |          5 |         18 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\AuthenticationTest.php                             | PHP                |         30 |          0 |         13 |         43 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\EmailVerificationTest.php                          | PHP                |         34 |          0 |         14 |         48 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\PasswordConfirmationTest.php                       | PHP                |         23 |          0 |         11 |         34 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\PasswordResetTest.php                              | PHP                |         42 |          0 |         20 |         62 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\RegistrationTest.php                               | PHP                |         16 |          0 |          5 |         21 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\DashboardTest.php                                       | PHP                |         10 |          0 |          5 |         15 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\ExampleTest.php                                         | PHP                |          5 |          0 |          3 |          8 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Settings\PasswordUpdateTest.php                         | PHP                |         33 |          0 |          9 |         42 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Settings\ProfileUpdateTest.php                          | PHP                |         65 |          0 |         22 |         87 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Pest.php                                                        | PHP                |          9 |         32 |          7 |         48 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\TestCase.php                                                    | PHP                |          6 |          1 |          4 |         11 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tests\Unit\ExampleTest.php                                            | PHP                |          4 |          0 |          2 |          6 |
| c:\Users\Jervi\Desktop\payment-with-laravel\tsconfig.json                                                         | JSON with Comments |         26 |         88 |          9 |        123 |
| c:\Users\Jervi\Desktop\payment-with-laravel\vite.config.ts                                                        | TypeScript         |         24 |          0 |          2 |         26 |
| Total                                                                                                             |                    |     23,239 |        932 |      1,093 |     25,264 |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
