"filename", "language", "TypeScript", "PHP", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "JSON", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\app\app-sidebar-layout.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\auth-layout.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\auth\auth-card-layout.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\auth\auth-simple-layout.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\auth\auth-split-layout.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\settings\layout.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 1, 8, 69
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\confirm-password.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 9, 61
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\forgot-password.tsx", "TypeScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 11, 64
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\login.tsx", "TypeScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 13, 111
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\register.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 11, 120
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\reset-password.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 11, 99
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\auth\verify-email.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 9, 42
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\settings\appearance.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\settings\password.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 21, 129
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\settings\profile.tsx", "TypeScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 21, 128
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\pages\welcome.tsx", "TypeScript JSX", 0, 0, 0, 788, 0, 0, 0, 0, 0, 1, 3, 792
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\ssr.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 4, 31
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\types\global.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\types\index.d.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\types\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\views\app.blade.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"c:\Users\Jervi\Desktop\payment-with-laravel\routes\auth.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 16, 57
"c:\Users\Jervi\Desktop\payment-with-laravel\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Jervi\Desktop\payment-with-laravel\routes\settings.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Jervi\Desktop\payment-with-laravel\routes\web.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\AuthenticationTest.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 13, 43
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\PasswordResetTest.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Auth\RegistrationTest.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\DashboardTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\ExampleTest.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Settings\PasswordUpdateTest.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Feature\Settings\ProfileUpdateTest.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 22, 87
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Pest.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 32, 7, 48
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\TestCase.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\Jervi\Desktop\payment-with-laravel\tests\Unit\ExampleTest.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Jervi\Desktop\payment-with-laravel\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 88, 9, 123
"c:\Users\Jervi\Desktop\payment-with-laravel\vite.config.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"Total", "-", 76, 1533, 26, 4639, 130, 52, 16671, 42, 70, 932, 1093, 25264
